,response,knowledge
297," The speaker informed the listener that the chinese team is not good enough to win the match.
"," The speaker skipped watching the football match and he watched a movie at that time.
"
298," The listener is disappointed with the performance of the chinese team.
"," The speaker was surprised by the attitude of the listener.
"
299," The speaker is annoyed with the bus service.
"," The speaker is felt embarsed for not getting the bus.
"
300," Mary is waiting for a bus to reach home.
"," The speaker knows the mary home not in way of bus route.
"
301," The speaker asks mary that where she is going.
"," The speaker asked mary if she had any other important work she was going for.
"
302," The speaker would ask mary about the way to her home.
"," The speaker asked mary if she had any other important work she was going for.
"
303," Mary is not able to reach home on time.
"," The speaker is become fat without the excercise so she want reduce the weight.
"
304," Mary will take a taxi to reach the park.
"," The listener requested mary if he can also join the speaker for a walk in the park.
"
305," Mary leaves the bus stand and walks towards the park.
"," The listener requested mary if he can also join the speaker for a walk in the park.
"
306," Mary is excited to go for a walk in the park.
"," The speaker is intersted to walk in the park.
"
307," Mary has a habit of going for a walk after her work.
"," The speaker needs loneliness for getting relax from work pressure so he selects the park for that.
"
308," Mary will enjoy her walk in the park.
"," Mary would tell the listener that walking alone in the park helps her de-stress at work.
"
309," Mary will enjoy her walk in the park.
"," Mary would tell the listener that walking alone in the park helps her de-stress at work.
"
310," There is a park nearby.
"," The listener needs refreshment from the stressful atmosphere of life.
"
311," The speaker suggests mary to take a taxi to reach the park.
"," The speaker would tell mary that it is difficult to even sit on the seat in the bus.
"
312," The speaker suggests mary to take a taxi to reach the park.
"," The speaker would tell mary that it is difficult to even sit on the seat in the bus.
"
